#{"t_start": 1588858822.4834797, "env_id": null}
r,l,t
-3.972222,1,3.237718
-4.027778,1,3.239713
-4.027778,1,3.245702
-3.972222,1,3.247692
-4.027778,1,3.249687
-3.972222,1,3.251683
-3.972222,1,3.253676
-4.027778,1,3.258662
-3.972222,1,3.261659
-4.027778,1,3.263651
-4.027778,1,3.265645
-4.027778,1,3.266641
-3.972222,1,3.273623
-3.972222,1,3.275617
-3.972222,1,3.277612
-4.027778,1,3.280604
-3.972222,1,3.283596
-4.027778,1,3.28958
-3.972222,1,3.290577
-4.027778,1,3.292572
-4.027778,1,3.295565
-3.972222,1,3.296566
-3.972222,1,3.30454
-4.027778,1,3.306535
-4.027778,1,3.309527
-3.972222,1,3.310524
-4.027778,1,3.312518
-4.027778,1,3.316509
-3.972222,1,3.3195
-3.972222,1,3.321494
-4.027778,1,3.324487
-3.972222,1,3.325484
-3.972222,1,3.330471
-4.027778,1,3.332465
-3.972222,1,3.333462
-3.972222,1,3.33446
-3.972222,1,3.336455
-3.972222,1,3.341441
-3.972222,1,3.342439
-4.027778,1,3.344434
-3.972222,1,3.34543
-4.027778,1,3.346428
-4.027778,1,3.351415
-4.027778,1,3.352412
-4.027778,1,3.354407
-3.972222,1,3.355404
-4.027778,1,3.356401
-4.027778,1,3.361388
-4.027778,1,3.362385
-4.027778,1,3.36438
-3.972222,1,3.366375
-3.972222,1,3.367372
-3.972222,1,3.372359
-4.027778,1,3.373357
-3.972222,1,3.376349
-4.027778,1,3.377346
-4.027778,1,3.37934
-4.027778,1,3.38333
-4.027778,1,3.385324
-4.027778,1,3.386321
-3.972222,1,3.387319
-4.027778,1,3.389313
-4.027778,1,3.392305
-3.972222,1,3.3943
-4.027778,1,3.395298
-3.972222,1,3.396295
-4.027778,1,3.398289
-4.027778,1,3.402278
-3.972222,1,3.403275
-3.972222,1,3.404274
-3.972222,1,3.406268
-4.027778,1,3.407265
-4.027778,1,3.411254
-3.972222,1,3.412252
-4.027778,1,3.41325
-4.027778,1,3.415244
-4.027778,1,3.416241
-4.027778,1,3.420231
-4.027778,1,3.421228
-3.972222,1,3.423222
-4.027778,1,3.42422
-4.027778,1,3.425217
-4.027778,1,3.430204
-3.972222,1,3.431201
-4.027778,1,3.432199
-4.027778,1,3.433197
-4.027778,1,3.435191
-4.027778,1,3.43918
-3.972222,1,3.440177
-4.027778,1,3.441175
-4.027778,1,3.44317
-3.972222,1,3.444167
-3.972222,1,3.448156
-4.027778,1,3.449153
-4.027778,1,3.451148
-3.972222,1,3.452146
-3.972222,1,3.453143
-4.027778,1,3.458129
-4.027778,1,3.459127
-4.027778,1,3.461121
-3.972222,1,3.462119
-3.972222,1,3.464113
-3.972222,1,3.468103
-4.027778,1,3.4691
-3.972222,1,3.471095
-4.027778,1,3.472092
-4.027778,1,3.473089
-4.027778,1,3.478077
-3.972222,1,3.480071
-3.972222,1,3.481068
-3.972222,1,3.483063
-4.027778,1,3.48406
-4.027778,1,3.489047
-4.027778,1,3.491041
-4.027778,1,3.492039
-3.972222,1,3.494034
-4.027778,1,3.496033
-3.972222,1,3.501015
-3.972222,1,3.502013
-4.027778,1,3.504007
-4.027778,1,3.505019
-4.027778,1,3.506999
-4.027778,1,3.511986
-3.972222,1,3.51398
-3.972222,1,3.514977
-4.027778,1,3.516972
-4.027778,1,3.518967
-3.972222,1,3.523954
-4.027778,1,3.524951
-4.027778,1,3.526946
-4.027778,1,3.527942
-3.972222,1,3.529939
-4.027778,1,3.534937
-3.972222,1,3.535922
-4.027778,1,3.537916
-4.027778,1,3.539911
-3.972222,1,3.540908
-3.972222,1,3.546892
-4.027778,1,3.54789
-4.027778,1,3.549889
-3.972222,1,3.550881
-3.972222,1,3.552887
-4.027778,1,3.557863
-3.972222,1,3.55886
-3.972222,1,3.560855
-3.972222,1,3.561853
-4.027778,1,3.563847
-3.972222,1,3.568834
-3.972222,1,3.569831
-3.972222,1,3.571826
-3.972222,1,3.572823
-3.972222,1,3.574818
-4.027778,1,3.579813
-3.972222,1,3.5818
-3.972222,1,3.582796
-4.027778,1,3.584791
-3.972222,1,3.585788
-4.027778,1,3.590775
-4.027778,1,3.59277
-3.972222,1,3.594764
-4.027778,1,3.595762
-3.972222,1,3.597757
-3.972222,1,3.602753
-4.027778,1,3.604737
-4.027778,1,3.605742
-3.972222,1,3.60773
-4.027778,1,3.608727
-4.027778,1,3.614711
-4.027778,1,3.615709
-4.027778,1,3.617711
-3.972222,1,3.6187
-4.027778,1,3.620695
-3.972222,1,3.625682
-3.972222,1,3.627677
-3.972222,1,3.628674
-4.027778,1,3.630668
-4.027778,1,3.631665
-4.027778,1,3.636652
-4.027778,1,3.638647
-3.972222,1,3.640641
-4.027778,1,3.641639
-3.972222,1,3.643643
-4.027778,1,3.64862
-3.972222,1,3.649617
-3.972222,1,3.651613
-4.027778,1,3.65261
-3.972222,1,3.654605
-3.972222,1,3.659592
-4.027778,1,3.661601
-4.027778,1,3.66358
-3.972222,1,3.66458
-3.972222,1,3.666572
-4.027778,1,3.67156
-4.027778,1,3.673553
-3.972222,1,3.675549
-3.972222,1,3.676549
-3.972222,1,3.678546
-4.027778,1,3.683527
-3.972222,1,3.685523
-3.972222,1,3.686519
-3.972222,1,3.688526
-4.027778,1,3.689512
-4.027778,1,3.695495
-3.972222,1,3.696493
-3.972222,1,3.698487
-4.027778,1,3.700483
-3.972222,1,3.701488
-3.972222,1,3.707464
